"NAME_1","lvstReqME_2020","lvstReqME_2021","lvstReqME_2022","lvstReqME_2023","feedME_mean_2020","feedME_mean_2021","feedME_mean_2022","feedME_mean_2023","adeq_2020","adeq_2021","adeq_2022","adeq_2023","adeqMin_2020","adeqMin_2021","adeqMin_2022","adeqMin_2023","adeqMax_2020","adeqMax_2021","adeqMax_2022","adeqMax_2023"
"Nasarawa",18128820224,18123462656,18084691968,18084698112,58797187072,60108840960,60833857536,64313135104,3.24329914167061,3.31663115933865,3.36383155674659,3.55621834026222,2.72679514313378,2.78772756626446,2.82985057940122,2.99115352409509,3.92963675649819,4.01651678245199,4.07205582237818,4.30000429193668
"Niger",34764374016,34760445952,34691211264,34691215360,156909453312,145240342528,146293391360,157727260672,4.513512978539,4.17832218633097,4.21701595388837,4.54660521504427,3.81379744517614,3.52994044146244,3.56497653037124,3.83980034469482,5.43642399656947,5.03453839418694,5.08378479076123,5.47923240600972
"Ogun",5955357696,5952602112,5939289088,5939291648,47996104704,50202324992,50228289536,50564210688,8.05931518374409,8.43367724692969,8.45695314570281,8.5135086277548,5.33902246955188,5.64681840079353,5.59394357397505,5.66009414667402,12.0909480236363,12.519563348261,12.7053044482588,12.7463934534698
"Ondo",9504674816,9499702272,9477823488,9477828608,50588614656,53707071488,55087087616,54367186944,5.32249820591863,5.65355312727005,5.81220864534421,5.73624921831885,2.89279931789952,3.07071392988217,3.13698402462994,3.10701457324232,9.74566739033095,10.3563819657116,10.7057313858679,10.5451093434639
"Osun",17184827392,17175928832,17136144384,17136153600,31441453056,31981461504,33056841728,33320222720,1.82960540358042,1.86199313101579,1.92907114851723,1.94444001248915,0.865459155542302,0.891251607836509,0.916050786209329,0.920428792245828,3.72799693918651,3.76866122655255,3.92562194349996,3.96405457070883
"Oyo",19268624384,19260909568,19218227200,19218235392,67250253824,68258226176,68860280832,68182376448,3.49014296421919,3.54387345701492,3.58307143085498,3.5477958853799,2.81166224261554,2.86518980758819,2.88797327288178,2.86260910031978,4.47213156711615,4.51280131403601,4.58871287363553,4.53485727297196
"Plateau",38923325440,38911295488,38827483136,38827495424,67344478208,67965145088,71719911424,73130844160,1.73018305724702,1.74666878179268,1.84714294183809,1.88348085194278,1.49592539946771,1.50905964140678,1.59579990533792,1.62647531533236,2.02403346685005,2.04508085475187,2.16253676076697,2.20657570185898
"Rivers",6115390976,6112170496,6098115072,6098118144,20341159936,19911895040,21699717120,23490676736,3.32622395131062,3.25774535462173,3.55843024668984,3.85211899495793,1.97374760882629,1.90244708414667,2.08730103602816,2.28152973023459,5.32805017292147,5.30686417170472,5.77176378261265,6.17874440056255
"Sokoto",30837704704,30830921728,30766979072,30766987264,36457504768,33880578048,40647618560,33590915072,1.18223794922295,1.09891550914063,1.32114428475014,1.09178434611647,1.01816630337083,0.945513352734145,1.13716818704192,0.941142851202301,1.41062587567946,1.31197102591308,1.57711703706078,1.30236961507529
"Taraba",27856162816,27851722752,27795228672,27795234816,165115248640,154639826944,161778188288,171269242880,5.92742258618482,5.55225356510112,5.82035824195143,6.16182032689326,4.65196222333191,4.36201263504729,4.57060560838536,4.84000414956985,8.20435788866956,7.66785079957723,8.0428825166746,8.50846576472193
"Yobe",36095946752,36089532416,36016586752,36016594944,57756934144,48334045184,54622945280,50586218496,1.60009472921776,1.33928155751255,1.51660527012507,1.40452529104024,1.37098015611077,1.14666656689163,1.2966681402742,1.20411575751508,1.90963457783404,1.59953932852268,1.81276643760534,1.67575302507531
"Zamfara",59915931648,59892781056,59759742976,59759767552,67577073664,61293756416,68199997440,62292750336,1.12786485672973,1.02339138933439,1.14123645858701,1.04238608829587,0.966480934982864,0.877625006723964,0.978187886057545,0.894624576191754,1.34341677169463,1.2188331341011,1.35919251605256,1.24150623304382
