"","Reference","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country","Feed_item","codeSPAM","codeBasket_grouped"
"7475","65000",90.32,39.69,55.56,8.6,5.12,90.69,0.8,14.4,NA,NA,NA,2.1,NA,42.7,8.5,54.89,8.03,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7476","65016",90.11,34.85,49.11,8.17,6.93,89.94,0.89,15.1,NA,NA,NA,2.2,NA,49.6,14,56.97,8.41,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7477","65032",90.07,38.19,55.23,9.28,4.81,90.88,0.54,15.2,NA,NA,NA,2.1,NA,34.2,9.1,54,7.94,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7478","65048",90.26,40.82,56.96,9.16,5.4,92.37,0.78,11.9,NA,NA,NA,1.8,NA,31.4,8.3,53.26,7.82,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7479","65064",90.1,31.07,44.28,6.81,11.1,91.14,1.4,12.2,NA,NA,NA,2.1,NA,30.7,19.2,62,9.13,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7480","64984",90.61,43.62,58.54,8.99,4.25,90.75,0.97,11.5,NA,NA,NA,2,NA,28.3,5.5,51.98,7.61,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7481","65001",90.44,41.72,56.8,9.11,4.4,89.79,0.91,14.9,NA,NA,NA,2.2,NA,36,7.8,52.17,7.63,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7482","65017",90.04,34.23,49.53,8.02,8.57,91.68,0.99,12.6,NA,NA,NA,2,NA,39,15.6,57.56,8.43,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7483","65033",90.31,42.25,59.55,10.5,3.64,91.48,0.36,12.8,NA,NA,NA,1.8,NA,40,8.2,52.08,7.7,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7484","65049",89.85,29.66,44.45,6.65,9.26,90.53,1.05,13.8,NA,NA,NA,2,NA,39.9,16.3,61.26,9.03,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7485","65065",90.34,43.39,60.54,9.96,4.12,91.91,0.61,11.7,NA,NA,NA,1.9,NA,36.4,6.9,51.03,7.5,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7486","64985",90.57,43.17,57.7,8.87,4.1,90.72,0.95,12.5,NA,NA,NA,2,NA,28.1,6,52.33,7.65,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7487","65002",90.58,46.5,61.81,10.21,3.3,91.45,0.97,13.2,NA,NA,NA,1.8,NA,25.1,3.5,48.07,7.01,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7488","65018",90.34,41.87,58.74,9.3,5.37,92.14,0.69,12.1,NA,NA,NA,1.9,NA,26.2,7.6,53.95,7.95,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7489","65034",89.78,30.22,44.79,7.67,8.23,89.69,0.8,17.7,NA,NA,NA,2.3,NA,46.8,16.1,58.97,8.7,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7490","65050",90.26,41.82,59.39,9.6,3.2,92.08,0.32,11.2,NA,NA,NA,1.7,NA,41.9,6.7,53.45,7.95,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7491","65066",90.38,41.98,58.28,9.5,4.75,91.59,0.75,12.6,NA,NA,NA,1.9,NA,25.4,6.2,53.9,7.95,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7492","64986",90.21,44.48,61.24,10.97,3.08,92.83,0.15,10.1,NA,NA,NA,1.5,NA,52.3,7.4,48,6.99,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
