,NAME_3,DEA crop mask,ESRI crops,ESA crops,CGLS crops
145,Lay Armacho,219.5071,482.5996,490.2169,315.3156569999993
146,Metema,771.9347,122.5797,172.2476,355.2136820000002
147,Mirab Armacho,1362.7248,164.74030000000002,391.72470000000004,278.97302799999903
148,Quara,1191.4404,41.6946,164.88330000000002,573.7510659999953
149,Tach Armacho,688.4187000000001,218.9977,539.0084,461.45977600000083
150,Takusa,457.8659,461.75030000000004,671.1906,557.5403110000001
151,Tsegede,771.1286,115.7809,292.05510000000004,326.84173500000026
152,Tselemt,127.1704,43.5002,98.822,185.5025179999998
153,Wegera,762.1849000000001,701.9496,928.1251000000001,839.6703000000015
154,West Belesa,731.7443000000001,548.3745,649.2525,544.9061750000005
155,Bugna,532.0854,98.4453,394.0006,494.72236300000066
156,Dawunt,272.06080000000003,156.2374,244.44930000000002,247.19317999999967
157,Delanta,300.3893,491.45500000000004,465.91790000000003,415.00783199999984
158,Gidan,233.2075,504.23810000000003,400.10450000000003,377.10614100000015
159,Guba Lafto,296.34590000000003,423.5047,335.7018,304.55943300000047
160,Habru,356.7912,479.8639,352.1569,347.0752409999998
161,Kobo,416.0973,354.0332,553.2697000000001,520.0677909999996
162,Lasta,403.89390000000003,217.02020000000002,440.4092,352.1604580000004
163,Meket,903.6467,729.9241000000001,945.9971,768.9214400000001
164,Wadla,423.48420000000004,613.8705,550.865,357.2909819999994
165,Abergele,226.4273,1.9006,156.14180000000002,220.96813800000015
166,Dehana,487.30150000000003,66.7428,517.9005000000001,585.8738760000014
167,Gaz Gibla,174.79590000000002,47.0035,257.52770000000004,289.4342340000002
168,Sahla,90.68950000000001,0.017400000000000002,45.336600000000004,98.52137199999996
169,Sekota,493.53650000000005,113.3669,662.6855,618.4164369999976
170,Ziquala,232.05110000000002,1.2308000000000001,199.3857,285.548242000001
171,Assosa,473.7916,57.812900000000006,274.2078,256.67385300000007
172,Bambasi,466.36310000000003,135.1115,372.4766,232.49599500000008
173,Bilidigilu,132.0201,5.0864,46.044900000000005,88.23299399999999
174,Homosha,127.9128,8.4639,57.1488,67.01237800000003
175,Kurmuk,114.4808,1.9559000000000002,14.4045,32.123855000000184
176,Maokomo Special,275.8498,39.8763,150.1284,77.31796100000031
177,Menge,90.05550000000001,3.2488,42.1948,55.675140000000084
178,Sherkole,96.19800000000001,0.2074,0.9715,15.95544700000002
179,Agalometi,176.43380000000002,1.4116,12.841700000000001,90.80917400000006
180,Bio Jiganifado,749.6718000000001,111.6939,474.1775,273.7382749999997
181,Kamashi,351.50710000000004,0.0182,35.15,110.98863900000043
182,Sirba Abay,80.9786,0.0089,12.296700000000001,33.98431900000004
183,Yaso,506.3901,1.8169000000000002,78.61630000000001,86.45610999999991
184,Bulen,672.2318,87.3283,315.8149,318.4332080000001
185,Dangura,1126.0516,71.5283,431.71090000000004,366.38287200000065
186,Dibat,919.0073000000001,151.5192,404.6207,383.4792519999992
187,Guba,343.3619,2.4532000000000003,32.3048,114.31119700000009
188,Mandura,547.8451,9.5717,174.0257,155.53162399999954
189,Pawe Special,300.2398,42.7492,309.1587,105.41456299999994
190,Wenbera,379.73150000000004,142.9316,192.72480000000002,251.02390300000357
191,Dire Dawa,36.958800000000004,96.4333,77.3692,185.49258499999974
192,Dire Dawa/Town,0.1822,6.2472,1.0411000000000001,7.986443000000004
193,Abobo,167.8239,34.3756,19.076700000000002,66.81962999999958
194,Dima,677.479,21.8947,13.430800000000001,77.20531200000079
195,Gambela Zuria,265.07480000000004,27.7161,8.0248,49.114478000000744
196,Gambella Wild Life Reserve,0.0,0.00030000000000000003,0.0009000000000000001,16.600229000000002
197,Gog,85.51830000000001,10.332500000000001,9.2393,39.42221500000002
198,Itang,132.3736,16.840400000000002,10.8237,48.466667000000186
199,Jore,2.8757,0.059300000000000005,0.0035,94.49219000000055
200,Godere,83.73020000000001,3.9865000000000004,3.1426000000000003,17.715048999999976
201,Mengesh,54.2787,5.0791,1.0182,16.85878799999998
202,Akobo,5.3301,0.3037,0.0,28.744549999999908
203,Jikawo,15.0652,5.623200000000001,0.008400000000000001,19.246460999999957
204,Lare,25.865000000000002,2.3688000000000002,0.0325,28.424176999999986
205,Wantawo,26.104000000000003,12.0914,0.0006000000000000001,29.654129000000015
206,Harar,48.2451,74.7659,200.9057,131.10279000000003
207,Amigna,410.1073,343.8202,407.377,420.38865000000084
208,Aseko,198.5,264.2985,141.0344,211.6154020000001
209,Bele Gesgar,338.28360000000004,356.70250000000004,352.9939,254.27228199999962
210,Chole,246.507,257.632,211.2588,196.8825170000001
211,Degeluna Tijo,750.5755,704.3194000000001,736.0733,506.997784
212,Diksis,244.18300000000002,370.5478,340.0683,190.79336300000017
213,Dodota,231.31150000000002,169.0815,288.0165,205.6696559999998
214,Gololcha Arsi,625.831,233.29160000000002,403.54970000000003,559.738129
215,Guna,318.99670000000003,347.8713,245.264,177.59800100000015
216,Hitosa,477.8136,468.2418,491.21200000000005,345.79010399999976
217,Inkolo Wabe,210.03230000000002,225.4225,211.489,154.6270190000001
218,Jeju,422.47200000000004,600.9341000000001,555.9477,334.57308999999964
219,Limu Bilbilo,912.0070000000001,1005.9202,948.1181,656.628280999999
220,Lude Hitosa,340.7536,425.8706,419.95250000000004,261.9189809999996
221,Merti,306.3627,377.7273,415.69,342.1358390000006
222,Munessa,858.4481000000001,846.7657,793.9559,499.3832399999998
223,Robe,725.7946000000001,636.8891,693.2912,541.0131410000009
224,Seru,126.9076,117.9497,148.1382,239.4534369999994
225,Shirka,511.2617,505.6277,439.2397,370.332197
226,Sire,295.7123,334.093,371.254,255.58099300000006
227,Sude,569.0965,651.3565,701.0612,499.6992900000004
228,Tena,266.9306,261.56690000000003,217.0396,168.89987299999996
229,Tiyo,466.39360000000005,493.9254,495.09770000000003,336.38251300000036
230,Ziway Dugda,597.7545,571.6134000000001,770.8775,508.0879539999989
231,Agarfa,526.9490000000001,487.99120000000005,512.7143,441.47578200000146
232,Berbere,189.7093,220.09040000000002,305.56080000000003,247.07325599999942
233,Dawe Kachen,23.110400000000002,71.6409,117.7591,161.52835100000047
234,Dinsho,223.4323,251.13320000000002,188.6458,216.81724200000033
235,Gasera,668.6174000000001,670.0719,706.1925,485.0031090000004
236,Ginir,782.4227000000001,1007.7598,1134.9586000000002,746.1771079999997
237,Goba,297.5556,282.9902,288.4397,351.29949499999907
238,Gololcha Bale,380.4809,535.2494,502.32160000000005,489.3918469999989
239,Goro,452.27680000000004,602.3570000000001,561.2604,378.35239899999954
240,Gura Damole,151.60590000000002,141.7311,125.3014,297.7653279999993
241,Harena Buluk,288.3158,149.74620000000002,150.3399,262.2797210000001
242,Lege Hida,170.3563,424.6728,102.9715,365.18550100000243
243,Meda Welabu,815.3839,228.0814,503.4877,814.3714530000085
244,Mena,641.3562000000001,262.765,398.13820000000004,323.8901099999999
245,Rayitu,0.6329,18.5686,75.14620000000001,200.93649500000032
246,Seweyna,84.01350000000001,379.47700000000003,226.5988,398.7732599999975
247,Sinana,865.2328,919.3786,945.6931000000001,610.340675000002
248,Abaya,324.8636,140.2849,114.85730000000001,214.42319500000013
249,Arero,8.0942,3.3397,23.4752,470.6232249999966
250,Bule Hora,134.3843,358.4144,189.8136,320.6731239999995
251,Dehas,0.0,0.6116,10.2977,418.1425510000002
252,Dillo,0.0,6.7365,1.058,252.95353600000013
253,Dire,0.0,78.62960000000001,58.9403,561.800838000005
254,Dugda Dawa,312.6123,61.1906,134.7356,471.8137379999994
255,Gelana,245.709,121.86070000000001,128.2765,245.45524100000003
256,Melka Soda,199.7564,0.0448,77.5232,370.8966299999999
257,Miyo,0.151,0.2787,16.2253,273.42969500000027
258,Moyale,0.0364,1.9425000000000001,6.8546000000000005,489.0640899999981
259,Teltele,113.86800000000001,305.8164,107.35560000000001,685.0002790000001
260,Yabelo,318.2858,118.8037,219.3812,764.9707309999948
261,Alem Gena,713.9829000000001,726.2900000000001,783.5185,524.8658880000004
262,Ameya,736.9765,785.7184000000001,795.5301000000001,462.1816419999999
263,Becho,377.4703,365.26250000000005,386.9764,267.51125599999955
264,Dawo,308.1138,277.8266,306.4174,208.3226130000001
265,Goro,399.4032,241.98450000000003,394.00960000000003,266.3677020000002
266,Ilu,345.2464,318.8482,357.6866,228.8713850000002
267,Kersana Malima,289.81780000000003,306.4588,319.4734,216.45300399999965
268,Kondaltiti,223.44,324.7157,267.02770000000004,166.72605499999963
269,Seden Sodo,315.6223,387.48720000000003,343.96090000000004,217.02566999999985
270,Sodo Daci,209.2912,275.2333,263.6754,156.2519499999998
271,Tole,301.76820000000004,380.7584,392.574,262.75719800000024
272,Waliso,421.02930000000003,434.27070000000003,360.64520000000005,261.25887699999976
273,Wenchi,318.90790000000004,341.90790000000004,289.1517,200.68244599999986
274,Adola,673.1849000000001,266.4739,377.4946,294.7201380000003
275,Afele Kola,341.75550000000004,157.97150000000002,6.0791,122.46045800000017
276,Ana Sora,431.8401,143.3967,160.2756,191.29789699999955
277,Bore,428.1959,276.7465,53.6376,174.5626379999998
278,Girja (Harenfema),231.91760000000002,42.6176,100.7891,125.77732900000018
279,Goro Dola,139.3249,12.432300000000001,328.40070000000003,404.32201099999946
280,Hambela Wamena,272.9717,5.8006,8.8003,104.28620900000001
281,Kercha,176.3478,13.699900000000001,9.6326,123.07139300000009
282,Liben,188.94330000000002,187.3452,552.2531,493.2493020000025
283,Odo Shakiso,416.9968,77.0635,170.2673,236.1585500000003
284,Saba Boru,124.5831,34.835100000000004,170.0645,376.890154000001
285,Uraga,444.0941,33.4347,28.441000000000003,182.8402239999999
286,Wadera,292.608,87.5751,201.1594,199.26914899999974
287,Ababo,271.4713,277.4121,380.824,250.40341200000017
288,Abay Chomen,237.7707,321.2865,323.1698,190.57275099999976
289,Abe Dongoro,561.4735000000001,189.54770000000002,483.1703,297.66272499999957
290,Amuru,535.2581,264.8154,454.23560000000003,370.41275900000045
291,Guduru,697.3728,672.3526,740.5804,513.8141050000014
292,Horo,413.00300000000004,440.6764,409.127,247.37824099999983
293,Jarte Jardega,542.9621000000001,462.4234,510.863,348.1367380000001
294,Jimma Genete,304.60880000000003,327.4021,303.367,168.27421800000036
295,Jimma Rare,198.16670000000002,209.6859,205.5088,111.76113199999978
296,Ale,128.3349,34.5285,24.6001,20.867483000000004
297,Alge Sachi,403.3858,113.90310000000001,180.39700000000002,115.2938870000002
